County,Population
".Albany County, New York","314,293"
".Allegany County, New York","46,385"
".Bronx County, New York","1,461,233"
".Broome County, New York","198,145"
".Cattaraugus County, New York","76,977"
".Cayuga County, New York","76,107"
".Chautauqua County, New York","127,383"
".Chemung County, New York","83,652"
".Chenango County, New York","47,071"
".Clinton County, New York","79,713"
".Columbia County, New York","61,468"
".Cortland County, New York","46,745"
".Delaware County, New York","44,215"
".Dutchess County, New York","296,309"
".Erie County, New York","952,491"
".Essex County, New York","37,275"
".Franklin County, New York","47,252"
".Fulton County, New York","53,084"
".Genesee County, New York","58,299"
".Greene County, New York","47,743"
".Hamilton County, New York","5,073"
".Herkimer County, New York","60,043"
".Jefferson County, New York","116,075"
".Kings County, New York","2,722,259"
".Lewis County, New York","26,571"
".Livingston County, New York","61,577"
".Madison County, New York","67,942"
".Monroe County, New York","758,384"
".Montgomery County, New York","49,499"
".Nassau County, New York","1,390,952"
".New York County, New York","1,687,033"
".Niagara County, New York","212,118"
".Oneida County, New York","231,265"
".Onondaga County, New York","475,429"
".Ontario County, New York","112,467"
".Orange County, New York","400,973"
".Orleans County, New York","40,047"
".Oswego County, New York","117,437"
".Otsego County, New York","58,389"
".Putnam County, New York","97,636"
".Queens County, New York","2,385,541"
".Rensselaer County, New York","160,889"
".Richmond County, New York","495,122"
".Rockland County, New York","337,429"
".St. Lawrence County, New York","108,182"
".Saratoga County, New York","235,815"
".Schenectady County, New York","157,874"
".Schoharie County, New York","29,758"
".Schuyler County, New York","17,863"
".Seneca County, New York","33,445"
".Steuben County, New York","93,371"
".Suffolk County, New York","1,521,964"
".Sullivan County, New York","78,461"
".Tioga County, New York","48,352"
".Tompkins County, New York","105,508"
".Ulster County, New York","181,304"
".Warren County, New York","65,597"
".Washington County, New York","61,127"
".Wayne County, New York","91,201"
".Westchester County, New York","1,001,451"
".Wyoming County, New York","40,264"
".Yates County, New York","24,735"
